Time: 1677997417.8444316, median: 0.0, thresh norm: 0.0, thresh: 0.0
Time: 1677997418.206787, median: 0.0, thresh norm: 0.0, thresh: 0.0
Time: 1677997418.315989, median: 0.0, thresh norm: 0.0, thresh: 0.0
Time: 1677997418.4190242, median: 0.0, thresh norm: 0.0, thresh: 0.4013737713935207
Time: 1677997418.5352528, median: 0.0, thresh norm: 0.0, thresh: 0.4261665267000472
Time: 1677997418.6461895, median: 0.572490125968401, thresh norm: 0.0, thresh: 1.3624156747069933
Time: 1677997418.7599015, median: 0.5772636463105995, thresh norm: 0.4013737713935207, thresh: 0.6810022322742166
Time: 1677997418.8705091, median: 0.6598207955110318, thresh norm: 0.4261665267000472, thresh: 0.3507736354724873
Time: 1677997418.9781983, median: 0.7475142043791536, thresh norm: 1.3624156747069933, thresh: 0.6623193610639828
Time: 1677997419.0866427, median: 0.8542326719401379, thresh norm: 0.6810022322742166, thresh: 0.42687387024393697
Time: 1677997419.2040138, median: 0.8542326719401379, thresh norm: 0.3507736354724873, thresh: 0.6537236168823819
Time: 1677997419.3120725, median: 0.9452865609630055, thresh norm: 0.6623193610639828, thresh: 0.7910894263354074
Time: 1677997419.4202452, median: 1.0176635761607333, thresh norm: 0.42687387024393697, thresh: 1.4313711225988062
Time: 1677997419.52365, median: 10.0, thresh norm: 0.6537236168823819, thresh: 0.0
Time: 1677997419.6385202, median: 10.0, thresh norm: 0.7910894263354074, thresh: 0.0
Time: 1677997419.7528765, median: 10.0, thresh norm: 1.4313711225988062, thresh: 0.0
Time: 1677997419.8593504, median: 10.0, thresh norm: 0.0, thresh: 0.0
Time: 1677997419.9624417, median: 10.0, thresh norm: 0.0, thresh: 0.0
Time: 1677997420.0709805, median: -0.10882636177485659, thresh norm: 0.0, thresh: 1.6555235214007915
Time: 1677997420.1737726, median: -0.31096222189629275, thresh norm: 0.0, thresh: 0.846980080915047
Time: 1677997420.2772317, median: -0.31096222189629275, thresh norm: 0.0, thresh: 0.846980080915047
Time: 1677997420.3880618, median: -0.3851626737243159, thresh norm: 1.6555235214007915, thresh: 0.7105680568538806
Time: 1677997420.5015087, median: -0.5227072421250545, thresh norm: 0.846980080915047, thresh: 1.1972424136826012
Time: 1677997420.6236172, median: -0.562804687937786, thresh norm: 0.846980080915047, thresh: 1.036852630431675
Time: 1677997420.7275918, median: -0.8220178455457048, thresh norm: 0.7105680568538806, thresh: 1.036852630431675
Time: 1677997420.8377147, median: -0.8220178455457048, thresh norm: 1.1972424136826012, thresh: 0.8341060865084851
Time: 1677997420.9446142, median: -0.8220178455457048, thresh norm: 1.036852630431675, thresh: 0.4224536998471877
Time: 1677997421.0539362, median: -0.8220178455457048, thresh norm: 1.036852630431675, thresh: 0.4224536998471877
Time: 1677997421.1601112, median: -0.8039959271251438, thresh norm: 0.8341060865084851, thresh: 0.7928042581423957
Time: 1677997421.2679448, median: -0.7164044205839079, thresh norm: 0.4224536998471877, thresh: 0.6827806230385849
Time: 1677997421.3713162, median: -0.6057948625895448, thresh norm: 0.4224536998471877, thresh: 0.7930813289954792
Time: 1677997421.47387, median: -0.40752453034067504, thresh norm: 0.7928042581423957, thresh: 1.2355195609729313
Time: 1677997421.5761483, median: -0.32093217576936184, thresh norm: 0.6827806230385849, thresh: 1.9322550054231278
Time: 1677997421.680196, median: 10.0, thresh norm: 0.7930813289954792, thresh: 0.0
Time: 1677997421.7889135, median: 10.0, thresh norm: 1.2355195609729313, thresh: 0.0
Time: 1677997421.8938422, median: 10.0, thresh norm: 1.9322550054231278, thresh: 0.0
Time: 1677997422.004227, median: 10.0, thresh norm: 0.0, thresh: 0.0
Time: 1677997422.1078994, median: 10.0, thresh norm: 0.0, thresh: 0.0
Time: 1677997422.219837, median: 0.9270124558261602, thresh norm: 0.0, thresh: 1.782547643640727
Time: 1677997422.3297997, median: 0.9137396341006812, thresh norm: 0.0, thresh: 0.13326009573666298
Time: 1677997422.4338472, median: 0.9137396341006812, thresh norm: 0.0, thresh: 0.12307373217053685
Time: 1677997422.5370667, median: 0.9137396341006812, thresh norm: 1.782547643640727, thresh: 0.12307373217053685
Time: 1677997422.6482537, median: 0.9137396341006812, thresh norm: 0.13326009573666298, thresh: 0.12307373217053685
Time: 1677997422.7544658, median: 0.9137396341006812, thresh norm: 0.12307373217053685, thresh: 0.12307373217053685
Time: 1677997422.8627279, median: 0.9137396341006812, thresh norm: 0.12307373217053685, thresh: 0.3540798771314888
Time: 1677997422.9730964, median: 0.825219664817809, thresh norm: 0.12307373217053685, thresh: 0.9180110132876345
Time: 1677997423.0829475, median: 0.5957169114959003, thresh norm: 0.12307373217053685, thresh: 1.194311604064299
Time: 1677997423.1926007, median: 0.4892179641687681, thresh norm: 0.3540798771314888, thresh: 1.3440068025961633
Time: 1677997423.3027823, median: 0.2971390104798256, thresh norm: 0.9180110132876345, thresh: 1.4926374338174078
Time: 1677997423.4098678, median: -0.07602034797452635, thresh norm: 1.194311604064299, thresh: 0.8213135896759749
